cd_prova,descricao,codigo,cor
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1221,"Azul"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1222,"Amarela"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1223,"Rosa"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1224,"Cinza"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1225,"Rosa - Ampliada"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1226,"Rosa - Superampliada"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1227,"Laranja - Braile"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1228,"Laranja - Adaptada Ledor"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1229,"Verde - Videoprova - Libras"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1301,"Azul (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1302,"Amarela (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1303,"Cinza (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1304,"Rosa (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1191,"Azul"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1192,"Amarela"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1193,"Branca"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1194,"Rosa"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1195,"Rosa - Ampliada"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1196,"Rosa - Superampliada"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1197,"Laranja - Braile"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1198,"Laranja - Adaptada Ledor"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1199,"Verde - Videoprova - Libras"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1271,"Azul (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1272,"Amarela (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1273,"Branca (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1274,"Rosa (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1201,"Azul"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1202,"Amarela"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1203,"Rosa"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1204,"Branca"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1205,"Rosa - Ampliada"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1206,"Rosa - Superampliada"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1207,"Laranja - Braile"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1208,"Laranja - Adaptada Ledor"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1209,"Verde - Videoprova - Libras"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1281,"Azul (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1282,"Amarela (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1283,"Rosa (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1284,"Branca (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1211,"Azul"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1212,"Amarela"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1213,"Rosa"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1214,"Cinza"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1215,"Rosa - Ampliada"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1216,"Rosa - Superampliada"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1217,"Laranja - Braile"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1218,"Laranja - Adaptada Ledor"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1219,"Verde - Videoprova - Libras"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1291,"Azul (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1292,"Amarela (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1293,"Rosa (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1294,"Cinza (Reaplicação)"
