"cd_prova","descricao","codigo","cor"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1419,"Azul"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1420,"Amarela"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1421,"Verde"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1422,"Cinza"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1423,"Verde - Ampliada"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1424,"Verde - Superampliada"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1426,"Laranja - Adaptada Ledor"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1427,"Roxa - Videoprova - Libras"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1428,"Roxa - Videoprova - Libras - Ampliada"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1373,"Azul (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1374,"Amarela (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1375,"Cinza (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1376,"Verde (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1377,"Verde - Ampliada (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1378,"Verde - Superampliada (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1380,"Laranja - Adaptada Ledor (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1383,"Azul"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1384,"Amarela"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1385,"Branca"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1386,"Verde"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1387,"Verde - Ampliada"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1388,"Verde - Superampliada"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1390,"Laranja - Adaptada Ledor"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1391,"Roxa - Videoprova - Libras"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1392,"Roxa - Videoprova - Libras - Ampliada"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1393,"Roxa - Videoprova - Libras - Superampliada"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1343,"Azul (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1344,"Amarela (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1345,"Branca (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1346,"Verde (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1347,"Verde - Ampliada (Reaplicação)"
