"cd_prova","descricao","codigo","cor"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1085,"Azul"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1086,"Amarela"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1087,"Cinza"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1088,"Rosa"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1092,"Laranja - Adaptada Ledor"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1093,"Verde - Videoprova - Libras"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1165,"Azul (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1166,"Amarela (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1167,"Cinza (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1168,"Rosa (Reaplicação)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1187,"Azul (Digital)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1188,"Amarela (Digital)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1189,"Rosa (Digital)"
"CO_PROVA_CN","Código do tipo de prova de Ciências da Natureza",1190,"Cinza (Digital)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1055,"Azul"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1056,"Amarela"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1057,"Branca"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1058,"Rosa"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1062,"Laranja - Adaptada Ledor"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1063,"Verde - Videoprova - Libras"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1135,"Azul (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1136,"Amarela (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1137,"Branca (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1138,"Rosa (Reaplicação)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1175,"Azul (Digital)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1176,"Amarela (Digital)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1177,"Branca (Digital)"
"CO_PROVA_CH","Código do tipo de prova de Ciências Humanas",1178,"Rosa (Digital)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1065,"Azul"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1066,"Amarela"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1067,"Rosa"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1068,"Branca"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1072,"Laranja - Adaptada Ledor"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1073,"Verde - Videoprova - Libras"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1145,"Azul (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1146,"Amarela (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1147,"Rosa (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1148,"Branca (Reaplicação)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1179,"Azul (Digital)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1180,"Amarela (Digital)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1181,"Branca (Digital)"
"CO_PROVA_LC","Código do tipo de prova de Linguagens e Códigos",1182,"Rosa (Digital)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1075,"Azul"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1076,"Amarela"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1077,"Rosa"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1078,"Cinza"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1082,"Laranja - Adaptada Ledor"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1083,"Verde - Videoprova - Libras"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1155,"Azul (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1156,"Amarela (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1157,"Rosa (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1158,"Cinza (Reaplicação)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1183,"Azul (Digital)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1184,"Amarela (Digital)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1185,"Rosa (Digital)"
"CO_PROVA_MT","Código do tipo de prova de Matemática",1186,"Cinza (Digital)"
